carretera_id,state_slug,carretera,clave_carretera,ruta,station_count
1100,san luis potosi,Querétaro - San Luis Potosí,00165,MEX-057,48
1101,san luis potosi,San Luis Potosí - Matehuala,24508,MEX-057,27
1102,san luis potosi,San Luis Potosí - Lagos de Moreno,00133,MEX-070-080,14
1103,san luis potosi,Ramal a Cerritos,24615,SLP-007,2
1104,san luis potosi,Rayón - Ent. Tamuín (Cuota), ,MEX-070D,12
1105,san luis potosi,Portezuelo - Cd. Valles,00023,MEX-085,21
1106,san luis potosi,El Clarín - Agua Buena,24283,MEX-070,2
1107,san luis potosi,Cd. Valles - Tampico,00138,MEX-070,18
1108,san luis potosi,Carbonera - T. C. (Ent. Morelos - Saltillo),00218,MEX-062,5
1109,san luis potosi,T. C. (Ent. El Huizache- Ant. Morelos)-El Salto,24204,MEX-080,2
1110,san luis potosi,Ent. de Zaragoza - San Felipe,00240,MEX-037,4
1111,san luis potosi,Libramiento Villa de Arriaga,24009,MEX-080,2
1112,san luis potosi,Ramal a Aeropuerto de S. L. P.,24206,MEX-057,3
1113,san luis potosi,Periférico de San Luis Potosí,24618,SLP-032,9
1114,san luis potosi,Ramal a Ojo de Agua,24023,MEX-062,2
1115,san luis potosi,Libramiento Norponiente de San Luis Potosí (Cuota), ,MEX-057D,7
1116,san luis potosi,Rayón - Arroyo Seco,24008,SLP-011,4
1117,san luis potosi,Ramal a Rayón,24626,MEX-070,2
1118,san luis potosi,Ébano - Estación Manuel,24624,SLP-TAM,5
1119,san luis potosi,Charcas - Villa Santo Domingo,24624,SLP-017,2
1120,san luis potosi,Ent. Tula - Cd. Victoria,00179,MEX-101,9
1121,san luis potosi,Libramiento de Cd. Valles,24205,MEX-070,2
1122,san luis potosi,Libramiento de Matehuala (Cuota),24205,MEX-057D,6
1123,san luis potosi,Matehuala - La Paz,24621,SLP-020,4
1124,san luis potosi,Rioverde - Cerritos (Cuota),00138,SLP-D,3
1125,san luis potosi,San Lorenzo - Moctezuma,24016,MEX-063-SLP-012,3
1126,san luis potosi,San Luis Potosí - Villa de Arriaga (Cuota),24209,SLP-D,2
1127,san luis potosi,San Juan del Río - Xilitla,00183,MEX-120,24
1128,san luis potosi,Libramiento de Villa de Reyes (Poniente), ,MEX-037,3
1129,san luis potosi,Santo Domingo - Cerro Gordo,24614,SLP-022,2
1130,san luis potosi,Ramal a Pozo de Acuña,24626,SLP-009,2
1131,san luis potosi,T. C. (Qro - S.L.P.) - Tierra Nueva,24203,MEX-057,2
1132,san luis potosi,T. C. (S.L.P. - Matehuala) - Villa Hidalgo,24619,MEX-057,2
1133,san luis potosi,Tamazunchale - San Felipe Orizatlán,00609,MEX-085,3
1134,san luis potosi,Tamuín - Estación F.F.C.C. Tamuín,24022,SLP-040,2
1135,san luis potosi,Tamuín - Xolol,24027,SLP-014,4
1136,sinaloa,Culiacán - Altata,25013,SIN-030,15
1137,sinaloa,Culiacán - Los Mochis,25502,MEX-015,26
1138,sinaloa,Guasave - Sinaloa de Leyva,25023,SIN-023,5
1139,sinaloa,Culiacán - Las Brisas (Cuota),25503,SIN-001D,15
1140,sinaloa,Mazatlán - Culiacán,25501,MEX-015,18
1141,sinaloa,Ramal a La Reforma,25041,SIN-004,3
1142,sinaloa,Mazatlán - Culiacán (Cuota),25045,MEX-015D,13
1143,sinaloa,Ramal a Cosalá,25008,SIN-008,2
1144,sinaloa,San Pedro - Campo Aníbal,25600,SIN,3
1145,sinaloa,Pericos - Los Naranjos,25598,MEX-024,3
1146,sinaloa,Navolato - El Castillo,25004,SIN-004,2
1147,sinaloa,Ramal a La Noria,25592,SIN,2
