movement_id,periodo,valor,porc
68798c739b36b04cf0b7c2f8,Nov,8,68.468468468468
68798c739b36b04cf0b7c2f8,Dic,8.2,70.18018018018
68798c739b36b04cf0b7c2fb,Ene,7.4,73.229166666667
68798c739b36b04cf0b7c2fb,Feb,6.8,67.291666666667
68798c739b36b04cf0b7c2fb,Mar,8.1,80.15625
68798c739b36b04cf0b7c2fb,Abr,8.1,80.15625
68798c739b36b04cf0b7c2fb,May,8.5,84.114583333333
68798c739b36b04cf0b7c2fb,Jun,8.6,85.104166666667
68798c739b36b04cf0b7c2fb,Jul,9.6,95
68798c739b36b04cf0b7c2fb,Ago,9.3,92.03125
68798c739b36b04cf0b7c2fb,Sep,8.2,81.145833333333
68798c739b36b04cf0b7c2fb,Oct,8.5,84.114583333333
68798c739b36b04cf0b7c2fb,Nov,8.2,81.145833333333
68798c739b36b04cf0b7c2fb,Dic,8.7,86.09375
68798c739b36b04cf0b7c2fa,Ene,7.2,71.25
68798c739b36b04cf0b7c2fa,Feb,6.8,67.291666666667
68798c739b36b04cf0b7c2fa,Mar,8.2,81.145833333333
68798c739b36b04cf0b7c2fa,Abr,7.8,77.1875
68798c739b36b04cf0b7c2fa,May,8.7,86.09375
68798c739b36b04cf0b7c2fa,Jun,8.9,88.072916666667
68798c739b36b04cf0b7c2fa,Jul,9.6,95
68798c739b36b04cf0b7c2fa,Ago,9.4,93.020833333333
68798c739b36b04cf0b7c2fa,Sep,8.3,82.135416666667
68798c739b36b04cf0b7c2fa,Oct,8.4,83.125
68798c739b36b04cf0b7c2fa,Nov,7.9,78.177083333333
68798c739b36b04cf0b7c2fa,Dic,8.8,87.083333333333
68798c739b36b04cf0b7c2fc,Ene,4.8,40
68798c739b36b04cf0b7c2fc,Feb,5.2,43.333333333333
68798c739b36b04cf0b7c2fc,Mar,7,58.333333333333
68798c739b36b04cf0b7c2fc,Abr,8.7,72.5
68798c739b36b04cf0b7c2fc,May,10.6,88.333333333333
68798c739b36b04cf0b7c2fc,Jun,10.6,88.333333333333
68798c739b36b04cf0b7c2fc,Jul,10.9,90.833333333333
68798c739b36b04cf0b7c2fc,Ago,11.4,95
68798c739b36b04cf0b7c2fc,Sep,10.1,84.166666666667
68798c739b36b04cf0b7c2fc,Oct,9.3,77.5
68798c739b36b04cf0b7c2fc,Nov,8.1,67.5
68798c739b36b04cf0b7c2fc,Dic,3.3,27.5
68798c739b36b04cf0b7c2fd,Ene,8.8,95
68798c739b36b04cf0b7c2fd,Feb,8.7,93.920454545455
68798c739b36b04cf0b7c2fd,Mar,8.4,90.681818181818
68798c739b36b04cf0b7c2fd,Abr,8.3,89.602272727273
68798c739b36b04cf0b7c2fd,May,8,86.363636363636
68798c739b36b04cf0b7c2fd,Jun,8,86.363636363636
68798c739b36b04cf0b7c2fd,Jul,8.6,92.840909090909
68798c739b36b04cf0b7c2fd,Ago,8.5,91.761363636364
68798c739b36b04cf0b7c2fd,Sep,8.3,89.602272727273
68798c739b36b04cf0b7c2fd,Oct,8.6,92.840909090909
68798c739b36b04cf0b7c2fd,Nov,8.7,93.920454545455
68798c739b36b04cf0b7c2fd,Dic,7.1,76.647727272727
68798c739b36b04cf0b7c2f9,Ene,7.7,81.277777777778
68798c739b36b04cf0b7c2f9,Feb,7.3,77.055555555556
68798c739b36b04cf0b7c2f9,Mar,8.5,89.722222222222
68798c739b36b04cf0b7c2f9,Abr,8.8,92.888888888889
68798c739b36b04cf0b7c2f9,May,8.6,90.777777777778
68798c739b36b04cf0b7c2f9,Jun,8.5,89.722222222222
68798c739b36b04cf0b7c2f9,Jul,9,95
68798c739b36b04cf0b7c2f9,Ago,8.9,93.944444444444
68798c739b36b04cf0b7c2f9,Sep,7.9,83.388888888889
68798c739b36b04cf0b7c2f9,Oct,8.5,89.722222222222
68798c739b36b04cf0b7c2f9,Nov,8,84.444444444444
68798c739b36b04cf0b7c2f9,Dic,8.3,87.611111111111
68798c739b36b04cf0b7bfc7,Ene,8.6,86.914893617021
68798c739b36b04cf0b7bfc7,Feb,8.5,85.904255319149
68798c739b36b04cf0b7bfc7,Mar,9.4,95
68798c739b36b04cf0b7bfc7,Abr,8.5,85.904255319149
68798c739b36b04cf0b7bfc7,May,8,80.851063829787
68798c739b36b04cf0b7bfc7,Jun,8,80.851063829787
68798c739b36b04cf0b7bfc7,Jul,8.6,86.914893617021
68798c739b36b04cf0b7bfc7,Ago,7.9,79.840425531915
68798c739b36b04cf0b7bfc7,Sep,6,60.63829787234
68798c739b36b04cf0b7bfc7,Oct,8.3,83.882978723404
68798c739b36b04cf0b7bfc7,Nov,9.2,92.978723404255
68798c739b36b04cf0b7bfc7,Dic,9,90.957446808511
68798c739b36b04cf0b7bfc8,Ene,7.9,75.05
68798c739b36b04cf0b7bfc8,Feb,7.9,75.05
68798c739b36b04cf0b7bfc8,Mar,9.1,86.45
68798c739b36b04cf0b7bfc8,Abr,8.6,81.7
68798c739b36b04cf0b7bfc8,May,7.9,75.05
68798c739b36b04cf0b7bfc8,Jun,8.3,78.85
68798c739b36b04cf0b7bfc8,Jul,8.6,81.7
68798c739b36b04cf0b7bfc8,Ago,7.8,74.1
68798c739b36b04cf0b7bfc8,Sep,6,57
68798c739b36b04cf0b7bfc8,Oct,8.5,80.75
68798c739b36b04cf0b7bfc8,Nov,9.4,89.3
68798c739b36b04cf0b7bfc8,Dic,10,95
68798c739b36b04cf0b7c2ff,Ene,9.1,85.594059405941
68798c739b36b04cf0b7c2ff,Feb,9,84.653465346535
68798c739b36b04cf0b7c2ff,Mar,10.1,95
68798c739b36b04cf0b7c2ff,Abr,8.8,82.772277227723
68798c739b36b04cf0b7c2ff,May,8.4,79.009900990099
68798c739b36b04cf0b7c2ff,Jun,8.3,78.069306930693
68798c739b36b04cf0b7c2ff,Jul,7.9,74.306930693069
68798c739b36b04cf0b7c2ff,Ago,7.1,66.782178217822
68798c739b36b04cf0b7c2ff,Sep,6.2,58.316831683168
68798c739b36b04cf0b7c2ff,Oct,8.9,83.712871287129
68798c739b36b04cf0b7c2ff,Nov,8.4,79.009900990099
68798c739b36b04cf0b7c2ff,Dic,7.8,73.366336633663
68798c739b36b04cf0b7bfc9,Ene,9.2,90.103092783505
68798c739b36b04cf0b7bfc9,Feb,9.3,91.082474226804
68798c739b36b04cf0b7bfc9,Mar,9.7,95
