movement_id,year,tdpa
68798c739b36b04cf0b7c2f9,2017,7172
68798c739b36b04cf0b7c2f9,2018,7320
68798c739b36b04cf0b7c2f9,2019,7176
68798c739b36b04cf0b7c2f9,2020,6682
68798c739b36b04cf0b7c2f9,2021,10232
68798c739b36b04cf0b7c2f9,2022,10779
68798c739b36b04cf0b7c2f9,2023,10963
68798c739b36b04cf0b7c2f9,2024,10806
68798c739b36b04cf0b7bfc7,2016,541
68798c739b36b04cf0b7bfc7,2017,822
68798c739b36b04cf0b7bfc7,2018,707
68798c739b36b04cf0b7bfc7,2019,598
68798c739b36b04cf0b7bfc7,2020,343
68798c739b36b04cf0b7bfc7,2021,610
68798c739b36b04cf0b7bfc7,2022,943
68798c739b36b04cf0b7bfc7,2023,1110
68798c739b36b04cf0b7bfc7,2024,1044
68798c739b36b04cf0b7bfc8,2016,178
68798c739b36b04cf0b7bfc8,2017,283
68798c739b36b04cf0b7bfc8,2018,273
68798c739b36b04cf0b7bfc8,2019,311
68798c739b36b04cf0b7bfc8,2020,239
68798c739b36b04cf0b7bfc8,2021,424
68798c739b36b04cf0b7bfc8,2022,774
68798c739b36b04cf0b7bfc8,2023,1188
68798c739b36b04cf0b7bfc8,2024,1318
68798c739b36b04cf0b7c2ff,2016,1377
68798c739b36b04cf0b7c2ff,2017,2147
68798c739b36b04cf0b7c2ff,2018,1741
68798c739b36b04cf0b7c2ff,2019,1998
68798c739b36b04cf0b7c2ff,2020,1106
68798c739b36b04cf0b7c2ff,2021,1927
68798c739b36b04cf0b7c2ff,2022,2210
68798c739b36b04cf0b7c2ff,2023,2058
68798c739b36b04cf0b7c2ff,2024,1796
68798c739b36b04cf0b7bfc9,2016,1377
68798c739b36b04cf0b7bfc9,2017,2147
68798c739b36b04cf0b7bfc9,2018,1741
68798c739b36b04cf0b7bfc9,2019,1998
68798c739b36b04cf0b7bfc9,2020,1106
68798c739b36b04cf0b7bfc9,2021,2109
68798c739b36b04cf0b7bfc9,2022,2744
68798c739b36b04cf0b7bfc9,2023,2885
68798c739b36b04cf0b7bfc9,2024,2513
68798c739b36b04cf0b7bfca,2016,541
68798c739b36b04cf0b7bfca,2017,822
68798c739b36b04cf0b7bfca,2018,707
68798c739b36b04cf0b7bfca,2019,598
68798c739b36b04cf0b7bfca,2020,343
68798c739b36b04cf0b7bfca,2021,97
68798c739b36b04cf0b7bfca,2022,226
68798c739b36b04cf0b7bfca,2023,325
68798c739b36b04cf0b7bfca,2024,352
68798c739b36b04cf0b7bfcb,2016,178
68798c739b36b04cf0b7bfcb,2017,283
68798c739b36b04cf0b7bfcb,2018,273
68798c739b36b04cf0b7bfcb,2019,311
68798c739b36b04cf0b7bfcb,2020,239
68798c739b36b04cf0b7bfcb,2021,355
68798c739b36b04cf0b7bfcb,2022,634
68798c739b36b04cf0b7bfcb,2023,967
68798c739b36b04cf0b7bfcb,2024,1228
68798c739b36b04cf0b7c261,2016,90
68798c739b36b04cf0b7c261,2017,127
68798c739b36b04cf0b7c261,2018,102
68798c739b36b04cf0b7c261,2019,73
68798c739b36b04cf0b7c261,2020,44
68798c739b36b04cf0b7c261,2021,80
68798c739b36b04cf0b7c261,2022,161
68798c739b36b04cf0b7c261,2023,205
68798c739b36b04cf0b7c261,2024,218
68798c739b36b04cf0b7c262,2016,545
68798c739b36b04cf0b7c262,2017,833
68798c739b36b04cf0b7c262,2018,627
68798c739b36b04cf0b7c262,2019,548
68798c739b36b04cf0b7c262,2020,347
68798c739b36b04cf0b7c262,2021,596
68798c739b36b04cf0b7c262,2022,886
68798c739b36b04cf0b7c262,2023,1050
68798c739b36b04cf0b7c262,2024,1032
68798c739b36b04cf0b7c263,2016,14
68798c739b36b04cf0b7c263,2017,20
68798c739b36b04cf0b7c263,2018,16
68798c739b36b04cf0b7c263,2019,19
68798c739b36b04cf0b7c263,2020,24
68798c739b36b04cf0b7c263,2021,37
68798c739b36b04cf0b7c263,2022,46
68798c739b36b04cf0b7c263,2023,58
68798c739b36b04cf0b7c263,2024,53
68798c739b36b04cf0b7c264,2016,90
68798c739b36b04cf0b7c264,2017,127
68798c739b36b04cf0b7c264,2018,102
68798c739b36b04cf0b7c264,2019,73
68798c739b36b04cf0b7c264,2020,44
68798c739b36b04cf0b7c264,2021,300
68798c739b36b04cf0b7c264,2022,431
68798c739b36b04cf0b7c264,2023,519
68798c739b36b04cf0b7c264,2024,535
68798c739b36b04cf0b7c265,2016,545
68798c739b36b04cf0b7c265,2017,833
68798c739b36b04cf0b7c265,2018,627
68798c739b36b04cf0b7c265,2019,548
68798c739b36b04cf0b7c265,2020,347
68798c739b36b04cf0b7c265,2021,344
68798c739b36b04cf0b7c265,2022,530
68798c739b36b04cf0b7c265,2023,659
68798c739b36b04cf0b7c265,2024,704
68798c739b36b04cf0b7c266,2016,14
68798c739b36b04cf0b7c266,2017,20
68798c739b36b04cf0b7c266,2018,16
68798c739b36b04cf0b7c266,2019,19
68798c739b36b04cf0b7c266,2020,24
68798c739b36b04cf0b7c266,2021,32
68798c739b36b04cf0b7c266,2022,45
68798c739b36b04cf0b7c266,2023,64
68798c739b36b04cf0b7c266,2024,66
68798c739b36b04cf0b7c045,2009,4764
68798c739b36b04cf0b7c045,2010,4796
68798c739b36b04cf0b7c045,2011,5195
68798c739b36b04cf0b7c045,2012,5435
68798c739b36b04cf0b7c045,2013,5433
68798c739b36b04cf0b7c045,2014,5659
68798c739b36b04cf0b7c045,2015,6005
68798c739b36b04cf0b7c045,2016,6109
68798c739b36b04cf0b7c045,2017,6064
68798c739b36b04cf0b7c045,2018,6224
68798c739b36b04cf0b7c045,2019,6057
68798c739b36b04cf0b7c045,2020,5221
68798c739b36b04cf0b7c045,2021,6706
68798c739b36b04cf0b7c045,2022,7303
68798c739b36b04cf0b7c045,2023,7728
68798c739b36b04cf0b7c045,2024,7809
68798c739b36b04cf0b7c046,2009,61
68798c739b36b04cf0b7c046,2010,47
68798c739b36b04cf0b7c046,2011,50
68798c739b36b04cf0b7c046,2012,48
68798c739b36b04cf0b7c046,2013,51
68798c739b36b04cf0b7c046,2014,60
68798c739b36b04cf0b7c046,2015,72
68798c739b36b04cf0b7c046,2016,94
68798c739b36b04cf0b7c046,2017,92
68798c739b36b04cf0b7c046,2018,94
68798c739b36b04cf0b7c046,2019,88
68798c739b36b04cf0b7c046,2020,78
68798c739b36b04cf0b7c046,2021,112
68798c739b36b04cf0b7c046,2022,104
68798c739b36b04cf0b7c046,2023,149
68798c739b36b04cf0b7c046,2024,102
68798c739b36b04cf0b7c047,2009,923
68798c739b36b04cf0b7c047,2010,907
68798c739b36b04cf0b7c047,2011,1082
68798c739b36b04cf0b7c047,2012,1150
68798c739b36b04cf0b7c047,2013,1099
68798c739b36b04cf0b7c047,2014,1136
68798c739b36b04cf0b7c047,2015,1290
68798c739b36b04cf0b7c047,2016,1202
68798c739b36b04cf0b7c047,2017,1178
68798c739b36b04cf0b7c047,2018,1149
68798c739b36b04cf0b7c047,2019,1012
68798c739b36b04cf0b7c047,2020,816
68798c739b36b04cf0b7c047,2021,1089
68798c739b36b04cf0b7c047,2022,1262
68798c739b36b04cf0b7c047,2023,1494
68798c739b36b04cf0b7c047,2024,1243
68798c739b36b04cf0b7c101,2009,4730
68798c739b36b04cf0b7c101,2010,4602
68798c739b36b04cf0b7c101,2011,4721
68798c739b36b04cf0b7c101,2012,5144
68798c739b36b04cf0b7c101,2013,5404
68798c739b36b04cf0b7c101,2014,5198
68798c739b36b04cf0b7c101,2015,5471
68798c739b36b04cf0b7c101,2016,5038
68798c739b36b04cf0b7c101,2017,4718
68798c739b36b04cf0b7c101,2018,4790
68798c739b36b04cf0b7c101,2019,4997
68798c739b36b04cf0b7c101,2020,3586
68798c739b36b04cf0b7c101,2021,5894
68798c739b36b04cf0b7c101,2022,6425
68798c739b36b04cf0b7c101,2023,5138
68798c739b36b04cf0b7c101,2024,4931
68798c739b36b04cf0b7c245,2010,4055
68798c739b36b04cf0b7c245,2011,4330
68798c739b36b04cf0b7c245,2012,4485
68798c739b36b04cf0b7c245,2013,4575
68798c739b36b04cf0b7c245,2014,4638
68798c739b36b04cf0b7c245,2015,4876
68798c739b36b04cf0b7c245,2016,4702
68798c739b36b04cf0b7c245,2017,4334
68798c739b36b04cf0b7c245,2018,4830
68798c739b36b04cf0b7c245,2019,4360
68798c739b36b04cf0b7c245,2020,4049
68798c739b36b04cf0b7c245,2021,5311
68798c739b36b04cf0b7c245,2022,5639
68798c739b36b04cf0b7c245,2023,5816
68798c739b36b04cf0b7c245,2024,6144
68798c739b36b04cf0b7c2d5,2009,13997
68798c739b36b04cf0b7c2d5,2010,13978
68798c739b36b04cf0b7c2d5,2011,15016
68798c739b36b04cf0b7c2d5,2012,15258
68798c739b36b04cf0b7c2d5,2013,15288
68798c739b36b04cf0b7c2d5,2014,18621
68798c739b36b04cf0b7c2d5,2015,16203
68798c739b36b04cf0b7c2d5,2016,15592
68798c739b36b04cf0b7c2d5,2017,15286
68798c739b36b04cf0b7c2d5,2018,15130
68798c739b36b04cf0b7c2d5,2019,14753
68798c739b36b04cf0b7c2d5,2020,12141
68798c739b36b04cf0b7c2d5,2021,14405
68798c739b36b04cf0b7c2d5,2022,16213
68798c739b36b04cf0b7c2d5,2023,17853
68798c739b36b04cf0b7c2d5,2024,16817
68798c739b36b04cf0b7c2d6,2009,3182
68798c739b36b04cf0b7c2d6,2010,3068
68798c739b36b04cf0b7c2d6,2011,3408
68798c739b36b04cf0b7c2d6,2012,3449
68798c739b36b04cf0b7c2d6,2013,3862
68798c739b36b04cf0b7c2d6,2014,3943
68798c739b36b04cf0b7c2d6,2015,4184
68798c739b36b04cf0b7c2d6,2016,4300
68798c739b36b04cf0b7c2d6,2017,4395
68798c739b36b04cf0b7c2d6,2018,4369
68798c739b36b04cf0b7c2d6,2019,4309
68798c739b36b04cf0b7c2d6,2020,3382
68798c739b36b04cf0b7c2d6,2021,4377
68798c739b36b04cf0b7c2d6,2022,4974
68798c739b36b04cf0b7c2d6,2023,5455
68798c739b36b04cf0b7c2d6,2024,4975
68798c739b36b04cf0b7bfcd,2009,6086
68798c739b36b04cf0b7bfcd,2010,6291
68798c739b36b04cf0b7bfcd,2011,6255
68798c739b36b04cf0b7bfcd,2012,6807
68798c739b36b04cf0b7bfcd,2013,7595
68798c739b36b04cf0b7bfcd,2014,6635
68798c739b36b04cf0b7bfcd,2015,7691
68798c739b36b04cf0b7bfcd,2016,8384
68798c739b36b04cf0b7bfcd,2017,8608
68798c739b36b04cf0b7bfcd,2018,9010
68798c739b36b04cf0b7bfcd,2019,9152
68798c739b36b04cf0b7bfcd,2020,7538
68798c739b36b04cf0b7bfcd,2021,12396
68798c739b36b04cf0b7bfcd,2022,10451
68798c739b36b04cf0b7bfcd,2023,10625
68798c739b36b04cf0b7bfcd,2024,12089
68798c739b36b04cf0b7c121,2009,1922
68798c739b36b04cf0b7c121,2010,2034
68798c739b36b04cf0b7c121,2011,2094
68798c739b36b04cf0b7c121,2012,2218
68798c739b36b04cf0b7c121,2013,2253
68798c739b36b04cf0b7c121,2014,2360
68798c739b36b04cf0b7c121,2015,2534
68798c739b36b04cf0b7c121,2016,2634
68798c739b36b04cf0b7c121,2017,2682
68798c739b36b04cf0b7c121,2018,2764
68798c739b36b04cf0b7c121,2019,2787
68798c739b36b04cf0b7c121,2020,2406
68798c739b36b04cf0b7c121,2021,3123
68798c739b36b04cf0b7c121,2022,3102
68798c739b36b04cf0b7c121,2023,2952
68798c739b36b04cf0b7c121,2024,2829
68798c739b36b04cf0b7c122,2009,1922
68798c739b36b04cf0b7c122,2010,2034
68798c739b36b04cf0b7c122,2011,2094
68798c739b36b04cf0b7c122,2012,2218
68798c739b36b04cf0b7c122,2013,2253
68798c739b36b04cf0b7c122,2014,2360
68798c739b36b04cf0b7c122,2015,2534
68798c739b36b04cf0b7c122,2016,2634
68798c739b36b04cf0b7c122,2017,2682
68798c739b36b04cf0b7c122,2018,2764
68798c739b36b04cf0b7c122,2019,2787
68798c739b36b04cf0b7c122,2020,1032
68798c739b36b04cf0b7c122,2021,1367
68798c739b36b04cf0b7c122,2022,1818
68798c739b36b04cf0b7c122,2023,1787
68798c739b36b04cf0b7c122,2024,1488
68798c739b36b04cf0b7c123,2009,81
68798c739b36b04cf0b7c123,2010,84
68798c739b36b04cf0b7c123,2011,90
68798c739b36b04cf0b7c123,2012,66
68798c739b36b04cf0b7c123,2013,66
68798c739b36b04cf0b7c123,2014,75
68798c739b36b04cf0b7c123,2015,89
68798c739b36b04cf0b7c123,2016,88
68798c739b36b04cf0b7c123,2017,148
68798c739b36b04cf0b7c123,2018,79
68798c739b36b04cf0b7c123,2019,71
68798c739b36b04cf0b7c123,2020,38
68798c739b36b04cf0b7c123,2021,52
68798c739b36b04cf0b7c123,2022,55
68798c739b36b04cf0b7c123,2023,56
68798c739b36b04cf0b7c123,2024,45
68798c739b36b04cf0b7c124,2009,1805
68798c739b36b04cf0b7c124,2010,1954
68798c739b36b04cf0b7c124,2011,2026
68798c739b36b04cf0b7c124,2012,2098
68798c739b36b04cf0b7c124,2013,2126
