station_id,year,tdpa
687a5e5d9b36b04cf0b806ec,2023,4686
687a5e5d9b36b04cf0b806ec,2022,4404
687a5e5d9b36b04cf0b806ec,2021,2747
687a5e5d9b36b04cf0b806ec,2020,2198
687a5e5d9b36b04cf0b806ec,2019,2626
687a5e5d9b36b04cf0b806ec,2018,2685
687a5e5d9b36b04cf0b806ec,2017,3128
687a5e5d9b36b04cf0b806ec,2016,3248
687a5e5d9b36b04cf0b806ec,2015,3153
687a5e5d9b36b04cf0b806ec,2014,2986
687a5e5d9b36b04cf0b806ec,2013,2780
687a5e5d9b36b04cf0b806ec,2012,2776
687a5e5d9b36b04cf0b806ec,2011,2716
687a5e5d9b36b04cf0b806ec,2010,2447
687a5e5d9b36b04cf0b806ed,2024,2249
687a5e5d9b36b04cf0b806ed,2023,2213
687a5e5d9b36b04cf0b806ed,2022,2172
687a5e5d9b36b04cf0b806ed,2021,2371
687a5e5d9b36b04cf0b806ed,2020,1811
687a5e5d9b36b04cf0b806ed,2019,2267
687a5e5d9b36b04cf0b806ed,2018,2185
687a5e5d9b36b04cf0b806ed,2017,1957
687a5e5d9b36b04cf0b806ed,2016,1773
687a5e5d9b36b04cf0b806ed,2015,1938
687a5e5d9b36b04cf0b806ed,2014,1825
687a5e5d9b36b04cf0b806ed,2013,1434
687a5e5d9b36b04cf0b806ed,2012,1550
687a5e5d9b36b04cf0b806ed,2011,1521
687a5e5d9b36b04cf0b806ed,2010,1542
687a5e5d9b36b04cf0b806ee,2024,2215
687a5e5d9b36b04cf0b806ee,2023,2228
687a5e5d9b36b04cf0b806ee,2022,2186
687a5e5d9b36b04cf0b806ee,2021,2302
687a5e5d9b36b04cf0b806ee,2020,1725
687a5e5d9b36b04cf0b806ee,2019,2201
687a5e5d9b36b04cf0b806ee,2018,2093
687a5e5d9b36b04cf0b806ee,2017,1894
687a5e5d9b36b04cf0b806ee,2016,1812
687a5e5d9b36b04cf0b806ee,2015,1884
687a5e5d9b36b04cf0b806ee,2014,1630
687a5e5d9b36b04cf0b806ee,2013,1584
687a5e5d9b36b04cf0b806ee,2012,1561
687a5e5d9b36b04cf0b806ee,2011,1505
687a5e5d9b36b04cf0b806ee,2010,1542
687a5e5d9b36b04cf0b806ef,2024,2029
687a5e5d9b36b04cf0b806ef,2023,2031
687a5e5d9b36b04cf0b806ef,2022,2001
687a5e5d9b36b04cf0b806ef,2021,2089
687a5e5d9b36b04cf0b806ef,2020,1614
687a5e5d9b36b04cf0b806ef,2019,1997
687a5e5d9b36b04cf0b806ef,2018,1912
687a5e5d9b36b04cf0b806ef,2017,1821
687a5e5d9b36b04cf0b806ef,2016,1814
687a5e5d9b36b04cf0b806ef,2015,1784
687a5e5d9b36b04cf0b806ef,2014,1555
687a5e5d9b36b04cf0b806ef,2013,1496
687a5e5d9b36b04cf0b806ef,2012,1476
687a5e5d9b36b04cf0b806ef,2011,1440
687a5e5d9b36b04cf0b806ef,2010,1543
687a5e5d9b36b04cf0b806f0,2024,2040
687a5e5d9b36b04cf0b806f0,2023,1998
687a5e5d9b36b04cf0b806f0,2022,1968
687a5e5d9b36b04cf0b806f0,2021,2051
687a5e5d9b36b04cf0b806f0,2020,1573
687a5e5d9b36b04cf0b806f0,2019,1961
687a5e5d9b36b04cf0b806f0,2018,1863
687a5e5d9b36b04cf0b806f0,2017,1848
687a5e5d9b36b04cf0b806f0,2016,1749
687a5e5d9b36b04cf0b806f0,2015,1732
687a5e5d9b36b04cf0b806f0,2014,1490
687a5e5d9b36b04cf0b806f0,2013,1457
687a5e5d9b36b04cf0b806f0,2012,1447
687a5e5d9b36b04cf0b806f0,2011,1392
687a5e5d9b36b04cf0b806f0,2010,1543
687a5e5d9b36b04cf0b8000b,2024,1952
687a5e5d9b36b04cf0b8000b,2023,1851
687a5e5d9b36b04cf0b8000b,2022,1822
687a5e5d9b36b04cf0b8000b,2021,1826
687a5e5d9b36b04cf0b8000b,2020,1373
687a5e5d9b36b04cf0b8000b,2019,1746
687a5e5d9b36b04cf0b8000b,2018,1674
687a5e5d9b36b04cf0b8000b,2017,1683
687a5e5d9b36b04cf0b8000b,2016,1562
687a5e5d9b36b04cf0b8000b,2015,1509
687a5e5d9b36b04cf0b8000b,2014,1431
687a5e5d9b36b04cf0b8000b,2013,1376
687a5e5d9b36b04cf0b8000b,2012,1343
687a5e5d9b36b04cf0b8000b,2011,1236
687a5e5d9b36b04cf0b8000b,2010,2087
687a5e5d9b36b04cf0b8000c,2024,1848
687a5e5d9b36b04cf0b8000c,2023,1692
687a5e5d9b36b04cf0b8000c,2022,1643
687a5e5d9b36b04cf0b8000c,2021,1548
687a5e5d9b36b04cf0b8000c,2020,1460
