plaza_id,state_slug,u1_carretera_id,u2_caseta_name,u2_carretera_raw,ruta,match_method
68798c739b36b04cf0b7c017,sonora,1175,Esperanza,Cd. Obregón-Hermosillo,MEX-015D-015,tematico_parent
68798c739b36b04cf0b7c018,sonora,1201,Guaymas,Cd. Obregón-Hermosillo,MEX-015D-015,tematico_parent
68798c739b36b04cf0b7c019,sonora,1180,Hermosillo,Hermosillo-Nogales,MEX-015D-015,tematico_parent
68798c739b36b04cf0b7c01a,sonora,1205,Magdalena,Libramiento de Magdalena,MEX-015D,tematico_parent
68798c739b36b04cf0b7c01b,sonora,1194,Nogales,Libramiento de Nogales,MEX-15D,tematico_parent
68798c739b36b04cf0b7c054,sonora,1185,Puente Colorado,Sonoita-Mexicali (LIBRE),MEX-002,tematico_parent
68798c739b36b04cf0b7c234,sonora,1185,Puente Inter. San Luis Río Colorado II (Cucapá),Sonoita - Mexicali,MEX-002,tematico_parent
68798c739b36b04cf0b7c239,sonora,1184,Santa Ana,Santa Ana-Altar,MEX-002D-MEX,tematico_parent
68798c739b36b04cf0b7c258,sonora,1202,Estación Doctor,San Luis Río Colorado - Golfo de Santa Clara,MEX-D,tematico_parent
68798c739b36b04cf0b7c27a,sonora,1191,Esperanza-Hornos,Libramiento de Ciudad Obregón,MEX-015D,tematico_parent
68798c739b36b04cf0b7c2b3,sonora,1203,Sahuaripa,Libramiento de Hermosillo,MEX-015D,tematico_parent
68798c739b36b04cf0b7c11a,tabasco,1235,La Venta (Sánchez Magallanes),Agua Dulce-Cárdenas,MEX-184D,tematico_parent
68798c739b36b04cf0b7c124,tabasco,1228,Malpasito,Las Choapas-Ocozocoautla,MEX-187D,tematico_parent
68798c739b36b04cf0b7c27e,tabasco,1217,Nacajuca,Libramiento de Villahermosa,MEX-180D,tematico_parent
68798c739b36b04cf0b7c2c7,tabasco,1213,Puente Coatzacoalcos,Coatzacoalcos-Villahermosa (LIBRE),MEX-180,tematico_parent
68798c739b36b04cf0b7c2d5,tabasco,1255,Puente Grijalva,Villahermosa-Francisco Escárcega (LIBRE),MEX-186,tematico_parent
68798c739b36b04cf0b7c2d6,tabasco,1255,Puente Usumacinta,Villahermosa-Francisco Escárcega (LIBRE),MEX-186,tematico_parent
68798c739b36b04cf0b7c00e,tamaulipas,1309,Entronque Ex-Garita,Monterrey-Nuevo Laredo,MEX-085D,tematico_parent
68798c739b36b04cf0b7c010,tamaulipas,1276,Tampico,Libramiento Poniente de Tampico,MEX-184D,tematico_parent
68798c739b36b04cf0b7c011,tamaulipas,1276,Loma Real,Libramiento Poniente de Tampico,MEX-184D,tematico_parent
68798c739b36b04cf0b7c044,tamaulipas,1271,Puente Inter. Libre Comercio,Matamoros-Reynosa (LIBRE),MEX-002,tematico_parent
68798c739b36b04cf0b7c102,tamaulipas,1296,Puente Inter. Nuevo Amanecer,Monterrey-Reynosa (LIBRE),MEX-040,tematico_parent
68798c739b36b04cf0b7c108,tamaulipas,1270,Puente Inter. Ignacio Zaragoza (Los Tomates),Monterrey-Reynosa (LIBRE),MEX-040,tematico_parent
68798c739b36b04cf0b7c109,tamaulipas,1271,Nuevo Progreso,Reynosa-Matamoros,MEX-002D,tematico_parent
68798c739b36b04cf0b7c119,tamaulipas,1279,Puente Inter. Laredo III,Ramal de Acceso al Puente Internacional Laredo III,MEX-085,tematico_parent
68798c739b36b04cf0b7c24b,tamaulipas,1290,San Fernando,Libramiento Sur II de Reynosa,MEX-040D,tematico_parent
68798c739b36b04cf0b7c24c,tamaulipas,1290,Lucio Blanco,Libramiento Sur II de Reynosa,MEX-040D,tematico_parent
68798c739b36b04cf0b7c250,tamaulipas,1271,Puente Inter. Río Bravo-Donna,Matamoros-Reynosa (LIBRE),MEX-002,tematico_parent
68798c739b36b04cf0b7c251,tamaulipas,1274,"Puente Inter. Reynosa - McAllen ""Anzalduas""",Monterrey-Reynosa (LIBRE),MEX-040,tematico_parent
68798c739b36b04cf0b7c2ca,tamaulipas,1270,Puente Inter. Matamoros,Cd. Victoria-Matamoros (LIBRE),MEX-101-180,tematico_parent
68798c739b36b04cf0b7c2cd,tamaulipas,1277,Puente Inter. Camargo,Reynosa-Nuevo Laredo (LIBRE),MEX-002,tematico_parent
68798c739b36b04cf0b7c2d3,tamaulipas,1277,Puente Inter. Miguel Alemán,Reynosa-Nuevo Laredo (LIBRE),MEX-002,tematico_parent
68798c739b36b04cf0b7c2d4,tamaulipas,1266,Puente Inter. Reynosa,Monterrey-Reynosa (LIBRE),MEX-040,tematico_parent
68798c739b36b04cf0b7c2e0,tamaulipas,1271,Puente Inter. Las Flores,Matamoros-Reynosa (LIBRE),MEX-002,tematico_parent
68798c739b36b04cf0b7c2e1,tamaulipas,1277,Puente San Juan,Reynosa-Nuevo Laredo (LIBRE),MEX-002,tematico_parent
68798c739b36b04cf0b7c2e9,tamaulipas,1302,Puente Inter. Laredo (Las Américas),Monterrey-Nuevo Laredo (LIBRE),MEX-085,tematico_parent
68798c739b36b04cf0b7c2ea,tamaulipas,1302,Puente Inter. Juárez-Lincoln,Monterrey-Nuevo Laredo (LIBRE),MEX-085,tematico_parent
68798c739b36b04cf0b7c2ed,tamaulipas,1320,Puente Tampico,Túxpam-Tampico (LIBRE),MEX-180,name_match
68798c739b36b04cf0b7bfc1,tlaxcala,1323,Calpulalpan,Arco Norte Cd. México,MEX-M40D,tematico_parent
68798c739b36b04cf0b7c027,tlaxcala,1335,San Martín Texmelucan,San Martín Texmelucan-Tlaxcala,MEX-117D,tematico_parent
68798c739b36b04cf0b7c142,tlaxcala,1344,Cuapiaxtla,Amozoc-Perote,MEX-140D,tematico_parent
68798c739b36b04cf0b7c1f5,tlaxcala,1334,Sanctórum,Arco Norte Cd. México,MEX-M40D,tematico_parent
68798c739b36b04cf0b7c031,veracruz,1362,Cuitláhuac,Córdoba-Veracruz,MEX-150D,tematico_parent
68798c739b36b04cf0b7c034,veracruz,1362,Paso del Toro,Córdoba-Veracruz,MEX-150D,tematico_parent
68798c739b36b04cf0b7c055,veracruz,1402,Cosamaloapan,La Tinaja-Cosoleacaque,MEX-145D,tematico_parent
68798c739b36b04cf0b7c058,veracruz,1395,Acayucan (Sayula),La Tinaja-Cosoleacaque,MEX-145D,tematico_parent
68798c739b36b04cf0b7c071,veracruz,1442,Puente Túxpam,Tihuatlán-Túxpam,MEX-132D,tematico_parent
68798c739b36b04cf0b7c07c,veracruz,1376,La Antigua,Cardel-Veracruz,MEX-180,tematico_parent
68798c739b36b04cf0b7c07d,veracruz,1383,San Julián,Cardel-Veracruz,MEX-180,tematico_parent
68798c739b36b04cf0b7c120,veracruz,1368,Totomoxtle,Gutiérrez Zamora-Tihuatlán,VER-D,tematico_parent
68798c739b36b04cf0b7c121,veracruz,1371,Las Choapas,Las Choapas-Ocozocoautla,MEX-187D,tematico_parent
68798c739b36b04cf0b7c148,veracruz,1372,Perote,Libramiento de Perote,MEX-140D,tematico_parent
68798c739b36b04cf0b7c246,veracruz,1441,Puente Pantepec José López Portillo,Tihuatlán - Potrero del Llano,MEX-127,tematico_parent
68798c739b36b04cf0b7c247,veracruz,1370,Puente Refinería Lázaro Cárdenas,Nuevo Teapa - Cosoleacaque,MEX-180D,tematico_parent
68798c739b36b04cf0b7c248,veracruz,1374,Las Vigas,Perote - Banderilla,MEX-140D,tematico_parent
68798c739b36b04cf0b7c249,veracruz,1381,Miradores,Libramiento de Xalapa,MEX-140D,tematico_parent
68798c739b36b04cf0b7c2b6,veracruz,1445,Los Gil,Tuxpam-Tampico,MEX-180D,tematico_parent
68798c739b36b04cf0b7c2b7,veracruz,1445,Naranjos,Tuxpam-Tampico,MEX-180D,tematico_parent
68798c739b36b04cf0b7c2bc,veracruz,1420,Vega de Alatorre,Poza Rica-Cardel,MEX-180D,tematico_parent
68798c739b36b04cf0b7c2c6,veracruz,1357,Puente Pánuco,Alazán-Canoas,MEX-127,tematico_parent
68798c739b36b04cf0b7c2c7,veracruz,1398,Puente Coatzacoalcos,Coatzacoalcos-Villahermosa (LIBRE),MEX-180,tematico_parent
68798c739b36b04cf0b7c2c9,veracruz,1387,Puente Alvarado,Paso del Toro-Acayucan (LIBRE),MEX-180,tematico_parent
68798c739b36b04cf0b7c2ce,veracruz,1376,Puente Nautla,Poza Rica-Veracruz (LIBRE),MEX-180,tematico_parent
68798c739b36b04cf0b7c2df,veracruz,1376,Puente Tecolutla,Poza Rica-Nautla (LIBRE),MEX-180,tematico_parent
68798c739b36b04cf0b7c2e7,veracruz,1356,Puente Tlacotalpan,Buenavista-Tuxtepec (LIBRE),MEX-175,tematico_parent
68798c739b36b04cf0b7c2eb,veracruz,1370,Puente Antonio Dovalí Jaime,Minatitlán-Nuevo Teapa,MEX-145D,tematico_parent
68798c739b36b04cf0b7c2ec,veracruz,1370,Puente Antonio Dovalí Jaime Bis,Minatitlán-Nuevo Teapa,MEX-145D,tematico_parent
68798c739b36b04cf0b7c2ed,veracruz,1411,Puente Tampico,Túxpam-Tampico (LIBRE),MEX-180,tematico_parent
68798c739b36b04cf0b7c02c,yucatan,1470,Chichén Itza,Kantunil-Cancún,MEX-180D,tematico_parent
