movement_id,plaza_id,caseta,cve,carretera,ruta,movimiento,km,sen,lat,lon,x_pg,y_pg,zona_geo,estado,vta_2024,pct_A,pct_AR,pct_B,pct_C2,pct_C3,pct_C4,pct_C5,pct_C6,pct_C7,pct_C8,pct_C9,pct_VNC,pct_M,rubro
68798c739b36b04cf0b7c126,68798c739b36b04cf0b7c124,Malpasito,207-03,Las Choapas-Ocozocoautla,MEX-187D,Ent. Rómulo Calzada-Ocuilapa,128,0,17.349146,-93.585533,437789.63245154,1918274.7564449,15Q,Chiapas,123579,86.4,0,0.4,3.9,1.3,0.1,0.1,0,0,0,0,0,7.8,casetas
68798c739b36b04cf0b7c127,68798c739b36b04cf0b7c127,Ocozocoautla,208,Las Choapas-Ocozocoautla,MEX-187D,Ent. Raudales-Ocozocoautla,182.2,0,16.863183,-93.406856,456661.32563999,1864464.386591,15Q,Chiapas,1792404,52.9,0,3.9,6.7,7.4,1,14.5,2.6,0.3,0.2,9.8,0,0.7,casetas
68798c739b36b04cf0b7c235,68798c739b36b04cf0b7c235,Arriaga,264,Arriaga-Ocozocoautla,MEX-187D,Arriaga-Tierra y Libertad,2.7,0,16.257485,-93.875377,406459.83319035,1797617.3216143,15Q,Chiapas,1970280,71.6,0.3,3.8,6.2,3.5,0.4,6.5,1.1,0.1,0.1,4,1.1,1.3,casetas
68798c739b36b04cf0b7c236,68798c739b36b04cf0b7c236,Jiquipilas,265,Arriaga-Ocozocoautla,MEX-187D,Tierra y Libertad-Jiquipilas,62.5,0,16.620512,-93.602104,435781.52281963,1837671.4643894,15Q,Chiapas,1692799,69.6,0.3,3.8,6.4,3.9,0.4,7.6,1.2,0.1,0.1,4.6,1.2,0.8,casetas
68798c739b36b04cf0b7c237,68798c739b36b04cf0b7c237,Montes Azules,266,Arriaga-Ocozocoautla,MEX-187D,Jiquipilas-Montes Azules,70.6,0,16.620609,-93.600526,435949.86459504,1837681.6898505,15Q,Chiapas,1800039,68.9,0.3,3.7,7,4,0.4,7.5,1.2,0.1,0.1,4.3,1.4,1.1,casetas
68798c739b36b04cf0b7c238,68798c739b36b04cf0b7c238,Ocozocoautla ,267,Arriaga-Ocozocoautla,MEX-187D,Montes Azules-Ocozacoautla,89.4,0,16.738487,-93.400346,457326.92559107,1850668.4615134,15Q,,2743369,73.3,0.2,4.8,6,3.3,0.3,5.5,1.3,0.1,0.1,2.9,1.1,1.1,casetas
68798c739b36b04cf0b7c2e5,68798c739b36b04cf0b7c2e5,Puente Inter. Rodolfo Robles,029,Ramal A Cd.Hidalgo (LIBRE),MEX,Cd. Hidalgo-Tecún Umán,27.5,1,14.702151,-92.151378,591361.19191658,1625554.7155118,15P,Chiapas,749964,9.2,0,0.1,0,0,0,0,0,0,0,0,0,90.7,casetas
68798c739b36b04cf0b7c2fe,68798c739b36b04cf0b7c2fe,Puente Inter. Shuchiate II (Ing. Luis Cabrera),046,T. C. (Tapachula-Pto. Madero)-Cd. Hidalgo,MEX,Hidalgo-Tecún Umán,0,1,14.67701,-92.149716,591550.59742757,1622774.4890442,15P,Chiapas,181378,7.1,0.3,1.1,5.6,6.4,0.4,67.2,11.2,0.2,0,0.5,0,0,casetas
68798c739b36b04cf0b7bfe3,68798c739b36b04cf0b7bfe3,Villa Ahumada,063,El Sueco-Cd. Juárez,MEX-045,El Sueco-Villa Ahumada,219,0,30.437059,-106.521897,353855.59039404,3368200.0466804,13R,Chihuahua,2987217,64.8,2.4,3.3,3,1.6,1.2,18.4,1.2,0.4,0,2.7,0.8,0.2,casetas
68798c739b36b04cf0b7bff4,68798c739b36b04cf0b7bff4,Puente Inter. Zaragoza-Ysleta,075,El Sueco-Cd. Juárez (LIBRE),MEX-045,Zaragoza-Ysleta,0,1,31.670809,-106.340673,372910.67695728,3504729.0507743,13R,Chihuahua,2529892,72.8,0.4,0,1,4.2,0.3,20.1,0,0,0,0,0,1.2,casetas
68798c739b36b04cf0b7bffd,68798c739b36b04cf0b7bffd,Camargo,080,Jiménez-Chihuahua,MEX-045D,Jiménez-Camargo,11,0,27.24496,-104.933154,506617.70826626,3013569.0443031,13R,Chihuahua,2399998,40.1,1.8,4.5,4.9,3.2,2.1,30.7,3.6,0.7,0.1,6.9,1.2,0.2,casetas
68798c739b36b04cf0b7bffe,68798c739b36b04cf0b7bffe,Altavista,081,Jiménez-Chihuahua,MEX-045D,Camargo-Conchos,73,0,27.730871,-105.197567,480526.64447373,3067405.765996,13R,Chihuahua,2728754,49.1,2.1,2.9,5.6,3.4,1.6,24.1,3,0.7,0.1,5.9,1.3,0.2,casetas
68798c739b36b04cf0b7bfff,68798c739b36b04cf0b7bfff,Saucillo,082,Jiménez-Chihuahua,MEX-045D,Conchos-Delicias,116.3,0,28.046417,-105.329309,467635.29293468,3102387.9567585,13R,Chihuahua,3439845,54.9,1.8,3.1,4.7,2.7,1.6,21.8,2.6,0.5,0.1,4.8,1.2,0.2,casetas
68798c739b36b04cf0b7c0ff,68798c739b36b04cf0b7c0ff,Bermejillo,189,Gómez Palacio-Corralitos,MEX-049D,Gómez Palacio-Est.Banderas,44.21,0,25.923705,-103.622079,637996.3491774,2867960.2019371,13R,Chihuahua,2055035,35.1,0,8.8,2.7,1.9,2.6,32.2,7,1,0.2,8.3,0,0.2,casetas
68798c739b36b04cf0b7c100,68798c739b36b04cf0b7c100,Ceballos,190,Gómez Palacio-Corralitos,MEX-049D,Est. Banderas-Corralitos,130.4102,0,26.586801,-104.057535,593848.73151555,2941016.4492076,13R,Chihuahua,2083441,33.9,0,4.7,2.8,5.7,2.9,32.1,7.5,1.1,0.3,8.8,0,0.2,casetas
68798c739b36b04cf0b7c271,68798c739b36b04cf0b7c271,Puente Inter. Guadalupe - Tornillo,302,Porvenir - Cd. Juárez,MEX-002,Guadalupe-Tornillo,0,1,31.431005,-106.151683,390547.58471831,3477943.3841134,13R,Chihuahua,730462,90.3,6.6,0,0.3,0.3,0.1,2.2,0.1,0,0,0,0,0.1,casetas
68798c739b36b04cf0b7c2ad,68798c739b36b04cf0b7c2ad,Jiménez,324,Libramiento Oriente de Chihuahua,MEX-045D,Ent. Jiménez-Ent. Aldama,3,0,28.603444,-105.95144,406975.99227644,3164421.6791201,13R,Chihuahua,1438947,40.2,2.2,2.2,3.7,3,0.9,31.7,6,0.4,0.1,8.5,0.9,0.2,casetas
68798c739b36b04cf0b7c2ae,68798c739b36b04cf0b7c2ae,Sacramento,325,Libramiento Oriente de Chihuahua,MEX-045D,Ent. Aldama-Ent. Sacramento,38.3,0,28.790516,-106.139354,388800.03045119,3185309.4603115,13R,Chihuahua,1780615,46.8,2.2,1.9,3.7,2.9,0.7,26.8,5.5,0.4,0.1,7.4,1.2,0.4,casetas
68798c739b36b04cf0b7c2c4,68798c739b36b04cf0b7c2c4,Guadalupe,336,Libramiento Oriente de Ciudad Juárez,CHIH-048D,Ent. Villa Ahumada-Ent. Guadalupe,27,0,31.411868,-106.195543,386355.91383651,3475866.7055181,13R,,181191,83.4,7.4,0.2,0.8,0.8,0.9,4.9,0.6,0.1,0,0.2,0,0.7,casetas
68798c739b36b04cf0b7c2e2,68798c739b36b04cf0b7c2e2,Puente Inter. Ojinaga,026,Chihuahua-Ojinaga (LIBRE),MEX-016,Ojinaga-Presidio,0,1,29.560735,-104.397589,558355.8740877,3270264.1915337,13R,Chihuahua,743956,95,2.1,0.2,1.1,0.2,0.2,1.1,0,0,0,0,0,0.1,casetas
68798c739b36b04cf0b7c2e3,68798c739b36b04cf0b7c2e3,Puente Inter. Paso del Norte,027,El Sueco-Cd. Juárez (LIBRE),MEX-045,Cd. Juárez-El Paso,0,1,31.7459,-106.486424,359206.38350205,3513232.2249582,13R,Chihuahua,2180560,95,0.6,0.3,0.1,0,0,0,0,0,0,0,0,4,casetas
68798c739b36b04cf0b7c079,68798c739b36b04cf0b7c079,Los Chorros,158,Puerto  México-Ent. Ojo Caliente,MEX-057D,Puerto México-Ent. Carbonera,203.65,0,25.186696,-100.731988,325473.54486181,2786743.4021542,14R,Coahuila,5390027,33.2,0,4.6,3.2,1.7,1,43.8,4.6,0.9,0.4,6.4,0,0.2,casetas
68798c739b36b04cf0b7c07a,68798c739b36b04cf0b7c07a,La Carbonera (Ojo Caliente),159,Puerto  México-Ent. Ojo Caliente,MEX-057D,Ent. La Carbonera-Ojo Caliente,12.36,0,25.510948,-100.868249,312241.57533876,2822844.9206775,14R,Coahuila,6032039,31.1,0,2,5.9,2.9,0.9,45.5,4.4,0.5,0.2,6.1,0,0.5,casetas
68798c739b36b04cf0b7c07b,68798c739b36b04cf0b7c07b,Huachichil,160,Puerto  México-Ent. Ojo Caliente,MEX-057D,Huachichil-Ent. Carbonera,213.5,0,25.245555,-100.801531,318551.84577388,2793355.0399415,14R,Coahuila,1192624,40.3,0,4.5,7.8,4.3,0.9,33.5,5.6,0.1,0,2.7,0,0.3,casetas
68798c739b36b04cf0b7c07e,68798c739b36b04cf0b7c07e,La Cuchilla,163,Torreón-Saltillo,MEX-040D,Matamoros-El Porvenir,67.036,0,25.627052,-102.878352,713026.21177226,2836089.6628702,13R,Coahuila,2844787,45.8,0,6.8,2.6,1.5,1.8,25.4,5.6,0.8,0.2,9.2,0,0.3,casetas
68798c739b36b04cf0b7c07f,68798c739b36b04cf0b7c07f,Plan de Ayala,164,Torreón-Saltillo,MEX-040D,Loma Bonita-Plan de Ayala,142,0,25.444203,-101.303908,268316.47111065,2816137.1548162,14R,Coahuila,2934130,49.7,0,6.3,3,1.6,1.4,22.1,4.8,0.8,0.3,8.7,0,1.3,casetas
68798c739b36b04cf0b7c10c,68798c739b36b04cf0b7c10c,Puente Inter. Piedras Negras II (Coahuila 2000),197,Monclova-Piedras Negras,MEX-057,Piedras Negras-Eagle Pass,0,1,28.698227,-100.506523,352831.39576869,3175481.7166178,14R,Coahuila,1926332,87,0,0.4,2.9,0,0,9.5,0,0,0,0,0,0.2,casetas
68798c739b36b04cf0b7c23a,68798c739b36b04cf0b7c23a,Playa 1,269-01,Saltillo - Monterrey y Libramiento Norponiente de Saltillo,MEX-040D,Zacatecas-Monclova (Libramiento de Saltillo),21.5,0,25.448326,-101.067032,292151.00754554,2816203.2355618,14R,Coahuila,1920539,23.1,0.6,1.7,5.2,5,2.2,44.5,4.6,1.7,0.2,10.7,0.4,0.1,casetas
