caseta_mongo_id,state_slug,caseta_name,cve,carretera,ruta,movimiento,tdpa_2024,lat,lon,rubro
68798c739b36b04cf0b7c24a,guanajuato,El Saucillo,277,Lagos de Moreno - Villa de Arriaga,SLP-080D,Lagos de Moreno - Villa de Arriaga,5863,21.490204,-101.763301,casetas
68798c739b36b04cf0b7c24d,guanajuato,La Calera,280-01,Libramiento de la Piedad,MEX-110D,Laguna Larga-Patti,6645,20.395639,-101.993375,casetas
68798c739b36b04cf0b7c272,guanajuato,Mendoza,303,Salamanca - Léon,MEX-D,Ent. Cerro Gordo-Ent. ITESI,17190,20.673077,-101.21354,casetas
68798c739b36b04cf0b7c273,guanajuato,Romita,304,Salamanca - Léon,MEX-D,Ent. Cerro Gordo-Ent. Romita,1269,20.909165,-101.493592,casetas
68798c739b36b04cf0b7c274,guanajuato,Puerto Interior Gto.,305,Salamanca - Léon,MEX-D,Ent. ITESI-Ent. León,12516,20.983902,-101.542303,casetas
68798c739b36b04cf0b7c281,guanajuato,Huichapan,312-01,Palmillas-Apaseo,MEX-045D,Huimilpan-Huichapan,196,20.290097,-99.949733,casetas
68798c739b36b04cf0b7c286,guanajuato,Amealco,313-01,Palmillas-Apaseo,MEX-045D,Huichapan-Amealco,332,20.277737,-100.059149,casetas
68798c739b36b04cf0b7c290,guanajuato,Huimilpan,315-01,Palmillas-Apaseo,MEX-045D,Huichapan-Huimilpan,416,20.348261,-100.277524,casetas
68798c739b36b04cf0b7c295,guanajuato,Apaseo el Alto,316-01,Palmillas-Apaseo,MEX-045D,Huichapan-Apaseo el Alto,1183,20.497515,-100.588177,casetas
68798c739b36b04cf0b7c29a,guanajuato,Apaseo el Grande,317-01,Palmillas-Apaseo,MEX-045D,Huichapan-Apaseo el Grande,6567,20.511282,-100.599341,casetas
68798c739b36b04cf0b7c2de,guanajuato,Puente La Piedad,022,Irapuato-Guadalajara (LIBRE),MEX-090,Irapuato-Guadalajara,3608,20.352798,-102.025149,casetas
68798c739b36b04cf0b7bfe9,guerrero,Central de Abastos,067,Cuernavaca-Acapulco,MEX-095D,Cuernavaca-Central de Abastos,19171,18.838355,-99.217512,casetas
68798c739b36b04cf0b7bfea,guerrero,Aeropuerto,068,Cuernavaca-Acapulco,MEX-095D,Cuernavaca-Aereopuerto,17185,18.802317,-99.221271,casetas
